SZG;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filial;N.Cilindro;Propriedade;Cod. Proprie;Loja Proprie;Nome Proprie;Capacidade;Dt.Fabric;Dt.Validade;Cod. Barras;Cil. Cond.;Dt.Cond.Cil.;Peso Cilindr;Org Inspetor;Bloqueado?;Fabricante;Filial Propr;Revisado?;N.Pinado Cil;N.Usado Cli.;Cod.Produto;Desc.Produto;Cod.Prod.BP3;Desc.Prod.P3;Status;Tp Embalagem;Cod.Memo 1;Dt.Inc.Cad.
1;3126;Cliente;1827;1;COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE;50;01/04/2018;01/04/2023;03126C0050010418;Nao;  /  /  ;54;SBI;Não;MAT SA ;;Sim;H03126;H03126;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;3131;Cliente;1827;1;COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE;50;01/05/2018;01/05/2023;03131C0050010518;Nao;  /  /  ;55;SBI;Não;MAT SA ;;Sim;H03131;H03131;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;3132;Cliente;1827;1;COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE;50;01/07/2018;01/07/2023;03132C0050010718;Nao;  /  /  ;56,4;SBI;Não;MAT SA ;;Sim;H03132;H03132;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;3187;Cliente;1827;1;COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE;50;01/07/2018;01/07/2023;03187C005001072018;Nao;  /  /  ;56,4;SBI;Não;MAT SA ;;Sim;H03187;H03187;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;33;Cliente;1852;1;COMPESA CIA PERNAMBUCANA DE SANEAMENTO;50;01/06/2016;01/06/2021;033C005001062016;Nao;  /  /  ;47,3;SBI;Não;MAT SA ;;Sim;33;33;MT0000024;;;;Em Uso      ;Cilindro;;  /  /  
1;33040;Cliente;1874;1;SAAE- SERV.AUT.AGUA E ESGOTO - PALMARES;50;01/10/2018;01/10/2023;033040C0050011018;Nao;  /  /  ;52,9;SBI;Não;MAT SA ;;Sim;33040;33040;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;3400;Cliente;2273;11;PETROLEO BRASILEIRO S.A - PETROBRAS;900;28/02/2018;28/02/2023;03400C0900280218;Nao;  /  /  ;588;SBI;Não;CBC    ;;Sim;3400;3400;MT0000026;CILINDRO CAPACIDADE 900 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;3401;Cliente;2273;8;PETROLEO BRASILEIRO S A PETROBRAS;900;01/02/2011;26/02/2021;03401C0900010211;Nao;  /  /  ;583;SBI;Não;CBC    ;;Sim;W03401;W03401;MT0000026;;;;Em Uso      ;Cilindro;;  /  /  
1;35;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;50;01/01/2016;01/01/2021;035C0050010116;Nao;  /  /  ;63;SBI;Não;MAT SA ;;Sim;35;35;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;350;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/03/2015;01/03/2020;0350B006801032015;Nao;  /  /  ;69,6;SBI;Não;MAT SA ;;Sim;350;350;MI0060120;;;;Em Uso      ;Cilindro;;  /  /  
